Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
flameDroneFuelTitle,xui,UI,,,,Flame fuel,,,,,,,,Paliwo miotacza,,,,,
statFlameDamage,xui,UI,,,,Flame damage,,,,,,,,Obrazenia plomienia,,,,,
statFlameRange,xui,UI,,,,Effective flame range,,,,,,,,Skuteczny zasieg plomienia,,,,,
statFlameRPM,xui,UI,,,,Damage ticks / minute,,,,,,,,Tiki obrazen / minute,,,,,
statFlameFuelCapacity,xui,UI,,,,Fuel capacity,,,,,,,,Pojemnosc paliwa,,,,,
statFlameFuelUse,xui,UI,,,,Fuel use / second,,,,,,,,Zuzycie paliwa / sekunde,,,,,
gunBotT2flameTurretMK1,items,Gun,,,,Flame Turret MK1,,,,,,,,Działko Podpalające MK1,,,,,
gunBotT2flameTurretMK2,items,Gun,,,,Flame Turret MK2,,,,,,,,Działko Podpalające MK2,,,,,
gunBotT2flameTurretMK3,items,Gun,,,,Flame Turret MK3,,,,,,,,Działko Podpalające MK3,,,,,
gunBotT2flameTurretMK1Desc,items,Gun,,,,This contraption can be fired and reloaded like a gun. It uses Gas Cans for ammunition.\nYou can also deploy it on the ground using the Secondary action.\n\nRepair with a Repair Kit.\nScrap to Robotics Parts.,,,,,,,,"Strzela i przeładowuje się jak zwykła broń palna. Używa kanistrów z benzyną jako amunicji.\nUżywając akcji pomocniczej, możesz rozstawić działko na ziemi.\n\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni części robotyczne.",,,,,
gunBotT2flameTurretMK2Desc,items,Gun,,,,This contraption can be fired and reloaded like a gun. It uses Gas Cans for ammunition.\nYou can also deploy it on the ground using the Secondary action.\n\nRepair with a Repair Kit.\nScrap to Robotics Parts.,,,,,,,,"Strzela i przeładowuje się jak zwykła broń palna. Używa kanistrów z benzyną jako amunicji.\nUżywając akcji pomocniczej, możesz rozstawić działko na ziemi.\n\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni części robotyczne.",,,,,
gunBotT2flameTurretMK3Desc,items,Gun,,,,This contraption can be fired and reloaded like a gun. It uses Gas Cans for ammunition.\nYou can also deploy it on the ground using the Secondary action.\n\nRepair with a Repair Kit.\nScrap to Robotics Parts.,,,,,,,,"Strzela i przeładowuje się jak zwykła broń palna. Używa kanistrów z benzyną jako amunicji.\nUżywając akcji pomocniczej, możesz rozstawić działko na ziemi.\n\nNaprawisz zestawem naprawczym.\nZezłomowanie zapewni części robotyczne.",,,,,
flamethrowerTrapMk1,blocks,Electricity,,,,Flame Trap MK1,,,,,,,,Pułapka Ogniowa MK1,,,,,
flamethrowerTrapMk2,blocks,Electricity,,,,Flame Trap MK2,,,,,,,,Pułapka Ogniowa MK2,,,,,
flamethrowerTrapMk3,blocks,Electricity,,,,Flame Trap MK3,,,,,,,,Pułapka Ogniowa MK3,,,,,
flamethrowerTrapMk1Desc,blocks,Electricity,,,,"Launches a cone of fire when powered. Uses Gas Cans as fuel.\n\nRepair with Forged Iron, Mechanical Parts, and Electrical Parts.",,,,,,,,"Po włączeniu wystrzeliwuje stożek ognia. Zużywa kanistry z benzyną jako paliwo.\n\nNaprawiaj za pomocą kutego żelaza, mechanicznych części i części elektrycznych.",,,,,
flamethrowerTrapMk2Desc,blocks,Electricity,,,,"Launches a cone of fire when powered. Uses Gas Cans as fuel.\n\nRepair with Forged Iron, Mechanical Parts, and Electrical Parts.",,,,,,,,"Po włączeniu wystrzeliwuje stożek ognia. Zużywa kanistry z benzyną jako paliwo.\n\nNaprawiaj za pomocą kutego żelaza, mechanicznych części i części elektrycznych.",,,,,
flamethrowerTrapMk3Desc,blocks,Electricity,,,,"Launches a cone of fire when powered. Uses Gas Cans as fuel.\n\nRepair with Forged Iron, Mechanical Parts, and Electrical Parts.",,,,,,,,"Po włączeniu wystrzeliwuje stożek ognia. Zużywa kanistry z benzyną jako paliwo.\n\nNaprawiaj za pomocą kutego żelaza, mechanicznych części i części elektrycznych.",,,,,
modRoboticDroneFlamethrowerMod,item_modifiers,attachment,,,,Drone Flamethrower Mod MK1,,,,,,,,Mod Miotacza Ognia do Drona MK1,,,,,
modRoboticDroneFlamethrowerModDesc,item_modifiers,attachment,,,,Installs a compact flamethrower system on your robotic drone. Consumes Gas Cans from the drone inventory as fuel. Tier 1 version with basic fire damage.,,,,,,,,Montuje kompaktowy miotacz ognia w dronie robotycznym. Zużywa kanistry z benzyną z ekwipunku drona jako paliwo. Wersja poziomu 1 z podstawowymi obrażeniami od ognia.,,,,,
modRoboticDroneFlamethrowerModMk2,item_modifiers,attachment,,,,Drone Flamethrower Mod MK2,,,,,,,,Mod Miotacza Ognia do Drona MK2,,,,,
modRoboticDroneFlamethrowerModMk2Desc,item_modifiers,attachment,,,,An improved flamethrower upgrade for the robotic drone. Consumes Gas Cans from the drone inventory as fuel. Tier 2 version with increased fire damage.,,,,,,,,Ulepszony moduł miotacza ognia do drona robotycznego. Zużywa kanistry z benzyną z ekwipunku drona jako paliwo. Wersja poziomu 2 ze zwiększonymi obrażeniami od ognia.,,,,,
modRoboticDroneFlamethrowerModMk3,item_modifiers,attachment,,,,Drone Flamethrower Mod MK3,,,,,,,,Mod Miotacza Ognia do Drona MK3,,,,,
